rc_building_id,simstadt_building_id,annual_rc_kwh,annual_simstadt_kwh,annual_diff_kwh,annual_diff_pct
DEBW_52210004Hxc,DEBW_52210004Hxc,8681.473794010974,9913.699999999999,-1232.2262059890254,-12.429528894247612
DEBW_52210004I04,DEBW_52210004I04,9483.433403495763,11711.800000000001,-2228.3665965042383,-19.026679045955685
DEBW_52210004IZi,DEBW_52210004IZi,4867.6264997920725,5081.400000000001,-213.773500207928,-4.206980363835321
DEBW_52210004Ihn,DEBW_52210004Ihn,14951.450048587165,16047.5,-1096.049951412835,-6.830035528355414
DEBW_52210004IuQ,DEBW_52210004IuQ,7942.096266074006,9252.3,-1310.2037339259932,-14.160843616462863
DEBW_52210004KwN,DEBW_52210004KwN,6810.014335574367,7015.299999999999,-205.2856644256326,-2.9262563885455024
DEBW_52210004L5J,DEBW_52210004L5J,13932.676322427862,15852.0,-1919.323677572138,-12.107769855993805
DEBW_52210004L7q,DEBW_52210004L7q,6980.60282689642,7442.9,-462.29717310357955,-6.211250629507041
DEBW_52210004Lja,DEBW_52210004Lja,12235.503728154215,14551.8,-2316.296271845784,-15.917592819072443
DEBW_52210004bgQ,DEBW_52210004bgQ,9886.553325761282,12527.4,-2640.8466742387172,-21.080564795877176
DEBW_52210004cUQ,DEBW_52210004cUQ,7704.4864795851145,7535.9,168.58647958511483,2.2371114211323775
DEBW_52210004caM,DEBW_52210004caM,13935.128313803425,18036.5,-4101.371686196575,-22.739288033690432
DEBW_52210004d3g,DEBW_52210004d3g,8663.453725791474,9469.5,-806.0462742085256,-8.51202570577671
DEBW_52210004dF4,DEBW_52210004dF4,3826.1897170839366,4917.4,-1091.210282916063,-22.190797635255688
DEBW_52210004dGw,DEBW_52210004dGw,9139.944411241868,11327.2,-2187.255588758133,-19.309764008388065
DEBW_52210004dNl,DEBW_52210004dNl,8584.043390215877,9632.8,-1048.7566097841227,-10.887349574206075
DEBW_52210004dQ2,DEBW_52210004dQ2,5013.840504476456,6601.500000000001,-1587.659495523545,-24.049980997099823
DEBW_52210004dQC,DEBW_52210004dQC,21032.930770306346,22836.0,-1803.069229693654,-7.895731431483859
DEBW_52210004dvl,DEBW_52210004dvl,12286.322026793778,13283.6,-997.2779732062227,-7.5075881026696285
DEBW_52210004e9F,DEBW_52210004e9F,13603.62122740478,14653.8,-1050.17877259522,-7.166596873133385
DEBW_52210004eFK,DEBW_52210004eFK,19365.09758451258,21413.4,-2048.302415487422,-9.565516991638049
DEBW_52210004edl,DEBW_52210004edl,6203.671442865316,7969.0,-1765.3285571346842,-22.152447699017245
DEBW_52210004evV,DEBW_52210004evV,10739.14533344918,13147.599999999999,-2408.4546665508187,-18.31858792898186
DEBW_52210004ewN__01,DEBW_52210004ewN__01,6005.892724046406,7053.8,-1047.9072759535939,-14.855925543020696
DEBW_52210004f3W,DEBW_52210004f3W,6773.157315153145,7596.1,-822.9426848468556,-10.833752647369776
DEBW_52210004fK1,DEBW_52210004fK1,7993.340567196362,8811.7,-818.3594328036388,-9.28719126619879
DEBW_52210004fgD,DEBW_52210004fgD,6484.4692316877245,6799.799999999999,-315.3307683122748,-4.637353573815036
DEBW_52210004xfl,DEBW_52210004xfl,9864.921095115715,12319.900000000001,-2454.9789048842867,-19.926938569990718
DEBW_52210004xqq,DEBW_52210004xqq,10809.405627836139,13769.499999999998,-2960.0943721638596,-21.49747174671455
DEBW_52210004xrI,DEBW_52210004xrI,7906.575870069581,9343.8,-1437.2241299304187,-15.381580619559696
DEBW_52210004xsG,DEBW_52210004xsG,4657.6235118356035,5857.700000000001,-1200.0764881643972,-20.4871619947146
DEBW_52210004xx4,DEBW_52210004xx4,7511.0280513128,7788.200000000001,-277.1719486872007,-3.558870453855842
DEBW_52210004y9B,DEBW_52210004y9B,9606.38060250841,12099.900000000001,-2493.519397491591,-20.60776863851429
DEBW_52210004yBG,DEBW_52210004yBG,14267.452455667519,15936.100000000002,-1668.6475443324834,-10.470865169850109
DEBW_52210004ylt,DEBW_52210004ylt,14303.933367531212,15194.8,-890.8666324687874,-5.862970440340034
DEBW_52210004yr8,DEBW_52210004yr8,6378.481819648308,6811.700000000001,-433.21818035169235,-6.359912802262172
DEBW_52210004zAp,DEBW_52210004zAp,4282.458111332311,4712.2,-429.7418886676887,-9.119771840492524
DEBW_52210004zCV,DEBW_52210004zCV,1114.4178726185728,1860.3999999999999,-745.9821273814271,-40.09794277474882
DEBW_52210004zDV,DEBW_52210004zDV,5372.71223765441,5877.299999999999,-504.587762345589,-8.58536678994758
DEBW_52210004zE4,DEBW_52210004zE4,5392.30295362171,6733.0,-1340.69704637829,-19.912328031758356
DEBW_52210004zH7,DEBW_52210004zH7,7526.481181214631,8348.1,-821.6188187853695,-9.841985826539805
DEBW_52210004zVF,DEBW_52210004zVF,15120.071379117388,15638.499999999996,-518.4286208826088,-3.3150789454398373
DEBW_52210004zyP,DEBW_52210004zyP,9821.119548963781,12667.5,-2846.380451036219,-22.469946327501233
DEBW_522100050H1,DEBW_522100050H1,1669.9385144162657,1776.4,-106.46148558373443,-5.993103219079848
DEBW_522100050Oj,DEBW_522100050Oj,5576.163690870485,6566.699999999999,-990.5363091295139,-15.0842327063748
DEBW_522100050uW,DEBW_522100050uW,5822.153125196675,8300.1,-2477.946874803325,-29.854421932305936
