rc_building_id,simstadt_building_id,match_type,annual_rc_cooling_kwh,annual_simstadt_cooling_kwh,annual_diff_cooling_kwh,annual_diff_cooling_pct,hours_compared,mae_kwh_h,rmse_kwh_h,bias_kwh_h,corr,annual_rc_kwh,annual_simstadt_kwh,annual_diff_kwh,annual_diff_pct
DEBW_52210004Fca,DEBW_52210004Fca,exact,1041.578192930154,3288.0,-2246.421807069846,-68.32183111526297,8760,0.44425777092378343,0.7767611362413845,-0.07754957161338315,0.8610636189365954,9596.265752666763,10275.599999999999,-679.3342473332359,-6.611139469551521
DEBW_52210004FnA,DEBW_52210004FnA,exact,2194.310090950702,7199.0,-5004.689909049298,-69.51923751978467,8760,1.0000198206755224,1.752279763998179,-0.2360451441653546,0.8509648330425915,20482.344537111498,22550.1,-2067.755462888501,-9.169606622092589
DEBW_52210004G6k,DEBW_52210004G6k,exact,3193.6941903979005,9575.0,-6381.3058096020995,-66.64549148409503,8760,1.4675472128230076,2.7303459541353936,-0.7669047919187753,0.830460789416222,27385.61402279153,34103.7,-6718.085977208466,-19.698994470419535
DEBW_52210004GDQ,DEBW_52210004GDQ,exact,2919.9343519872987,9811.0,-6891.065648012702,-70.23815765989912,8760,1.4613873416408536,2.7210529714503,-0.679153053636218,0.8188690884555814,26635.819250146727,32585.2,-5949.380749853273,-18.257923075056386
DEBW_52210004GPg,DEBW_52210004GPg,exact,3123.948681637083,7749.0,-4625.051318362917,-59.685782918607785,8760,1.3795572589172853,2.5159253498813636,-0.5634570904524466,0.8184129838645308,24792.31588763657,29728.199999999997,-4935.8841123634265,-16.60337360608253
DEBW_52210004Gqv,DEBW_52210004Gqv,exact,1694.5853905336717,6183.0,-4488.414609466328,-72.59282887702294,8760,0.8719737274339466,1.453739597885247,0.008504350407153064,0.8597795261809429,18161.298109566662,18086.800000000003,74.49810956665897,0.41189215099773846
DEBW_52210004H20,DEBW_52210004H20,exact,9161.473696018564,29463.0,-20301.526303981438,-68.90515665065145,8760,4.186245760160076,7.685330951256929,-1.543734603865099,0.8059963325760314,72933.28487014174,86456.40000000001,-13523.11512985827,-15.641543170729141
DEBW_52210004HIN,DEBW_52210004HIN,exact,3917.5318880705313,13454.0,-9536.46811192947,-70.88202848171153,8760,1.2539510736012691,2.1358229310840833,-0.056513050113020144,0.8393699715337838,23725.345681009945,24220.4,-495.05431899005634,-2.043955999859855
DEBW_52210004HiD,DEBW_52210004HiD,exact,3522.864950575855,12131.0,-8608.135049424145,-70.9598141078571,8760,1.6839199140376002,3.0870633728512327,-0.7135153063622374,0.8328749157341504,32230.8059162668,38481.200000000004,-6250.394083733205,-16.24272133855806
DEBW_52210004Hls,DEBW_52210004Hls,exact,2218.6409272208707,7582.0,-5363.359072779129,-70.73805160616102,8760,1.2350942861998102,2.1572443992792594,-0.24068429250930098,0.8255960530249167,22970.605597618523,25079.0,-2108.3944023814765,-8.407011453333373
DEBW_52210004HpC,DEBW_52210004HpC,exact,2774.253533991292,9540.0,-6765.746466008708,-70.91977427682083,8760,1.362933324492778,2.391958085474163,-0.3112868308058677,0.8374644707289781,26503.127362140596,29230.0,-2726.8726378594038,-9.329020314264124
DEBW_52210004HrR,DEBW_52210004HrR,exact,4074.5415668017276,13673.0,-9598.458433198273,-70.20009093248207,8760,1.9016633839768196,3.5230863213964807,-0.9031019660686119,0.8293819233595587,35715.52677723896,43626.700000000004,-7911.173222761041,-18.13378784726106
