Building ID;Primary Usage;Secondary Usage;Other Usages;Air change rate [vol/h];Building Parent ID
DEBW_52210004HKw;UsageZoneName [name=residential];No usage;No other usages;0,39;DEBW_52210004HKw
DEBW_52210005K5d;UsageZoneName [name=residential];No usage;No other usages;0,41;DEBW_52210005K5d
DEBW_52210005PIU;UsageZoneName [name=leisure and recreation];UsageZoneName [name=garden house];No other usages;0,30;DEBW_52210005PIU
DEBW_52210004zK7;UsageZoneName [name=residential];No usage;No other usages;0,43;DEBW_52210004zK7
DEBW_52210004d3g;UsageZoneName [name=residential];No usage;No other usages;0,44;DEBW_52210004d3g
DEBW_52210006HCZ;UsageZoneName [name=residential];No usage;No other usages;0,45;DEBW_52210006HCZ
DEBW_52210006HXy;UsageZoneName [name=residential];No usage;No other usages;0,43;DEBW_52210006HXy
DEBW_52210005yOR;UsageZoneName [name=retail];No usage;No other usages;0,81;DEBW_52210005yOR
DEBW_52210004H5Y;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004H5Y
DEBW_522100061BG;UsageZoneName [name=residential];No usage;No other usages;0,45;DEBW_522100061BG
DEBW_52210004yr8;UsageZoneName [name=residential];No usage;No other usages;0,43;DEBW_52210004yr8
DEBW_52210005197;UsageZoneName [name=greenhouse];No usage;No other usages;0,30;DEBW_52210005197
DEBW_52210003u4h;UsageZoneName [name=residential];No usage;No other usages;0,42;DEBW_52210003u4h
DEBW_52210003sMd;UsageZoneName [name=residential];No usage;No other usages;0,42;DEBW_52210003sMd
DEBW_52210006Idd;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210006Idd
DEBW_52210005fyk;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210005fyk
DEBW_5221Us0004I;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_5221Us0004I
DEBW_52210006KZK;UsageZoneName [name=residential];No usage;No other usages;0,43;DEBW_52210006KZK
DEBW_52210004zvw;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004zvw
DEBW_522100060Iy;UsageZoneName [name=residential];No usage;No other usages;0,39;DEBW_522100060Iy
DEBW_52210004zH7;UsageZoneName [name=residential];No usage;No other usages;0,41;DEBW_52210004zH7
DEBW_5221Us0004K;UsageZoneName [name=residential];No usage;No other usages;0,45;DEBW_5221Us0004K
DEBW_52210005Jkv;UsageZoneName [name=residential];No usage;No other usages;0,38;DEBW_52210005Jkv
DEBW_52210005zTA;UsageZoneName [name=residential];No usage;No other usages;0,45;DEBW_52210005zTA
DEBW_52210003sUv;UsageZoneName [name=residential];No usage;No other usages;0,44;DEBW_52210003sUv
DEBW_52210004HkA;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004HkA
DEBW_52210005fdn;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210005fdn
DEBW_52210005k2O;UsageZoneName [name=residential];No usage;No other usages;0,43;DEBW_52210005k2O
DEBW_52210004IZi;UsageZoneName [name=residential];No usage;No other usages;0,43;DEBW_52210004IZi
DEBW_52210004zrn;UsageZoneName [name=garden house];UsageZoneName [name=leisure and recreation];No other usages;0,30;DEBW_52210004zrn
DEBW_52210004HtD;UsageZoneName [name=garage];No usage;No other usages;0,30;DEBW_52210004HtD
