Surface ID;Building ID;Surface Type;Surface Construction Type;Window Ratio;Wall area (without window);Window area;Wall U-Value (without window);Window Construction Type;Window U-Value;Building Parent ID
UUID_132d4343-f5fe-4e33-becc-b0199546e24d;DEBW_52210005zmV;WALL;199;0,14;2,42;0,39;0,83;;2,57;DEBW_52210005zmV
UUID_8992d34b-d5c3-4f80-bb6f-2dbe8e98024c;DEBW_52210005zmV;WALL;199;0,14;18,55;3,02;0,83;;2,57;DEBW_52210005zmV
UUID_c650f3ac-9bf0-4afb-adb7-ae6ea711475e;DEBW_52210005zmV;WALL;199;0,14;18,83;3,06;0,83;;2,57;DEBW_52210005zmV
UUID_e8973253-fb02-4e78-871a-ca13139d3017;DEBW_52210005zmV;WALL;199;0,14;29,32;4,77;0,83;;2,57;DEBW_52210005zmV
UUID_97cadc8f-5ca6-405b-850a-d518cfae8a01;DEBW_52210005zmV;WALL;199;0,14;2,44;0,40;0,83;;2,57;DEBW_52210005zmV
UUID_3ca5511b-74f4-400f-a388-3cfe231c3b66;DEBW_52210005zmV;WALL;199;0,14;107,05;17,43;0,83;;2,57;DEBW_52210005zmV
UUID_9d46add8-75ae-4c33-a754-2e61cfc9687d;DEBW_52210005zmV;WALL;199;0,14;46,43;7,56;0,83;;2,57;DEBW_52210005zmV
UUID_51ddfab1-f3b3-4852-a997-67ea1cb1c03b;DEBW_52210005zmV;WALL;199;0,14;29,97;4,88;0,83;;2,57;DEBW_52210005zmV
UUID_dc4761b4-04e9-44a4-a514-d47f72aaa791;DEBW_52210005zmV;WALL;199;0,14;84,31;13,73;0,83;;2,57;DEBW_52210005zmV
UUID_01d0b02f-7194-48c7-bbc9-787039ed99e6;DEBW_52210005zmV;ROOF;226;0,10;158,25;17,58;0,43;;2,57;DEBW_52210005zmV
UUID_8e2a2cd2-659d-435c-a49b-99993c761cd5;DEBW_52210005zmV;WALL;199;0,14;8,38;1,36;0,83;;2,57;DEBW_52210005zmV
UUID_f4f61ed8-6d18-4255-b454-2153393371ee;DEBW_52210005zmV;WALL;199;0,14;13,30;2,16;0,83;;2,57;DEBW_52210005zmV
UUID_a00704e5-763b-4853-a6ce-9143f6e12bdb;DEBW_52210005zmV;WALL;199;0,14;10,01;1,63;0,83;;2,57;DEBW_52210005zmV
UUID_0bec33ec-0b28-4985-95e5-ad47840a13e0;DEBW_52210005zmV;WALL;199;0,14;1,80;0,29;0,83;;2,57;DEBW_52210005zmV
UUID_0c04b91f-65f9-4043-a273-1e78cb409488;DEBW_52210005zmV;WALL;199;0,14;9,13;1,49;0,83;;2,57;DEBW_52210005zmV
UUID_7a3d3ec6-fbed-416e-b2df-7b8c4392c04a;DEBW_52210005zmV;GROUND;150;0,00;175,83;0,00;0,62;;;DEBW_52210005zmV
UUID_bc823429-2da4-4cc2-96da-15d3276515c4;DEBW_52210005zmV;WALL;199;0,14;15,28;2,49;0,83;;2,57;DEBW_52210005zmV
UUID_0c7b920d-23a7-41de-b369-0c9ad1043198;DEBW_522100060yl;WALL;199;0,27;0,82;0,30;0,83;;2,57;DEBW_522100060yl
UUID_ccf506f6-db29-4cdf-9d0e-b665e46e04b6;DEBW_522100060yl;GROUND;150;0,00;19,22;0,00;0,62;;;DEBW_522100060yl
