hour,trnsys_heating_demand_kwh_h,trnsys_cooling_demand_kwh_h
5084,0.0,14.248526560211872
5085,0.0,10.884762858806514
5086,0.0,9.032355545781456
5087,0.0,7.57109599130976
5088,0.0,6.42372570897607
5089,0.0,5.423097705705514
5090,0.0,4.493474618617951
5091,0.0,3.6126786754436435
5092,0.0,2.830035767223647
5093,0.0,2.251997215270409
5094,0.0,2.2961813508963114
5095,0.0,2.983705269761364
5096,0.0,5.960708561876389
5097,0.0,8.553618524224003
5098,0.0,9.198868548438954
5099,0.0,10.288261833891802
5100,0.0,12.78265572249624
5101,0.0,12.479430818520761
5102,0.0,13.610215351707511
5103,0.0,16.107513547549082
5104,0.0,14.91675061438286
5105,0.0,12.348061481390483
5106,0.0,11.05701659864941
5107,0.0,9.036852914161459
5108,0.0,7.3113260247272
5109,0.0,6.018209103023982
5110,0.0,5.15209507053347
5111,0.0,4.430141203184354
5112,0.0,3.7368316886523503
5113,0.0,3.012170259980662
5114,0.0,2.2187713124865938
5115,0.0,1.337158527794624
5116,0.0,0.7074920814835706
5117,0.0,0.4030821193781351
5118,0.0,2.640614821736558
5119,0.0,4.332278175900331
5120,0.0,5.832784637541263
5121,0.0,7.587636431986765
5122,0.0,9.507329443252619
5123,0.0,11.596469160272536
5124,0.0,12.509541156455128
5125,0.0,11.926446168297076
5126,0.0,14.167248803171452
5127,0.0,15.142835714312053
5128,0.0,15.23794890785297
5129,0.0,16.238083993453387
5130,0.0,15.560020108774577
5131,0.0,14.265750810780371
5132,0.0,12.74776172440064
5133,0.0,8.793549184376719
5134,0.0,6.9323060070281315
5135,0.0,5.5076702071347
5136,0.0,4.376411762721804
5137,0.0,3.3749857613677405
5138,0.0,2.4618484795264277
5139,0.0,1.7115781741172393
5140,0.0,1.2124357024059604
5141,0.0,0.7074997016887775
5142,0.0,1.991347891911646
5143,0.0,2.880078154431354
5144,0.0,4.689095735144026
5145,0.0,5.116989639451106
5146,0.0,4.9626780992140995
5147,0.0,6.302324417255068
5148,0.0,5.812178418780176
5149,0.0,5.977934648359038
5150,0.0,6.251416461500016
5151,0.0,9.38500519291075
5152,0.0,10.67576390430737
5153,0.0,11.882767844155032
5154,0.0,9.086273697517907
5155,0.0,6.761958074658638
5156,0.0,5.081908362972463
5157,0.0,3.8739374939110958
5158,0.0,3.0007183356485783
