hour,rc_heating_demand_kwh_h,simstadt_heating_demand_kwh_h,diff_heating_kwh_h
1448,2797.480552402322,1667.2,1130.2805524023217
1449,2690.2083934895923,1641.8999999999996,1048.3083934895926
1450,2495.7517620895096,1513.6999999999991,982.0517620895105
1451,2305.73017306051,1438.0999999999992,867.6301730605107
1452,2101.069579995893,1353.3000000000002,747.7695799958929
1453,1877.6356213292008,1241.799999999999,635.8356213292018
1454,1687.8956202727256,1176.1999999999998,511.6956202727258
1455,1580.3827578062824,1190.4000000000003,389.98275780628205
1456,1502.6138932072736,1205.3,297.3138932072736
1457,1451.876235022228,1205.3,246.57623502222805
1458,1555.9666299919652,1390.7999999999997,165.16662999196546
1459,1642.9256429430104,1476.5000000000007,166.42564294300973
1460,1733.399773176266,1578.4,154.999773176266
1461,1785.63833366602,1611.4,174.2383336660198
1462,1859.908558970199,1681.8000000000002,178.10855897019883
1463,1927.0802480153848,1736.2999999999986,190.78024801538618
1464,1999.7666674244192,1797.299999999999,202.46666742442017
1465,9.528481548967958,1542.6000000000001,-1533.0715184510323
1466,52.73695610592004,1545.0,-1492.26304389408
1467,155.42101302315777,1552.6000000000008,-1397.1789869768431
1468,276.7923588773432,1533.3000000000006,-1256.5076411226573
1469,421.90478360700513,1557.5000000000002,-1135.595216392995
1470,558.855513539353,1565.499999999999,-1006.6444864606461
1471,695.7604070242369,1590.4,-894.6395929757632
1472,3119.977154151383,1896.0000000000002,1223.9771541513826
1473,3070.7785824186817,1914.4999999999998,1156.278582418682
1474,2977.383326722799,1875.200000000001,1102.1833267227983
1475,2890.007480487773,1816.6999999999996,1073.3074804877735
1476,2803.9890413400567,1806.7,997.2890413400567
1477,2729.304194678297,1793.8999999999996,935.4041946782972
1478,2683.288531917115,1834.7999999999997,848.4885319171153
1479,2590.654189602096,1829.9999999999998,760.654189602096
1480,2544.2545359396577,1837.6999999999998,706.5545359396579
1481,2547.410669429241,1916.8999999999999,630.510669429241
1482,2567.7734153519973,1920.1000000000001,647.6734153519972
1483,2573.642723971209,1916.1999999999998,657.442723971209
1484,2563.142098340359,1890.8999999999996,672.2420983403595
1485,2577.986535899392,1912.1999999999994,665.7865358993927
1486,2597.563975553734,1937.4,660.163975553734
1487,2608.642645967952,1946.5999999999997,662.0426459679522
1488,2583.2271677172234,1896.1000000000004,687.1271677172231
1489,273.99527193915384,1564.3999999999994,-1290.4047280608456
1490,403.8947981047524,1544.6,-1140.7052018952475
1491,550.012332964421,1566.799999999999,-1016.787667035578
1492,648.8620150616935,1525.6999999999996,-876.8379849383061
1493,776.5954591038618,1553.4000000000005,-776.8045408961387
1494,875.1762865145367,1542.6000000000001,-667.4237134854634
1495,951.9449156660942,1510.1999999999987,-558.2550843339045
1496,3336.0499550129884,1797.7999999999993,1538.2499550129892
1497,3209.865630722371,1738.5999999999983,1471.2656307223726
