hour,rc_heating_demand_kwh_h,simstadt_heating_demand_kwh_h,diff_kwh_h
8244,1755.0025659788957,1139.1999999999996,615.8025659788962
8245,1653.0913749738352,1162.7999999999997,490.29137497383545
8246,1554.2738943836184,1154.4,399.87389438361834
8247,1463.0562603955862,1143.3999999999999,319.6562603955863
8248,1409.1630561551237,1138.5999999999995,270.5630561551243
8249,1393.0868504409927,1159.7999999999993,233.28685044099348
8250,1370.407019408906,1159.7999999999993,210.6070194089068
8251,1361.022732059727,1170.5999999999997,190.42273205972742
8252,1379.7792184160755,1208.4999999999995,171.279218416076
8253,1337.0666252683175,1172.1999999999996,164.86662526831788
8254,1333.558012772914,1180.8000000000002,152.75801277291384
8255,1341.918286861366,1199.3,142.61828686136596
8256,1319.3556402669199,1181.4,137.95564026691977
8257,0.0,1026.2999999999997,-1026.2999999999997
8258,0.0,1041.8999999999994,-1041.8999999999994
8259,0.4052484975316172,1026.1999999999998,-1025.7947515024682
8260,2.392225679897048,1044.9999999999998,-1042.6077743201026
8261,26.325426891998372,1062.1000000000004,-1035.774573108002
8262,101.77029062094496,1055.4,-953.6297093790552
8263,222.55765273945522,1044.3999999999999,-821.8423472605447
8264,2529.199215077814,1193.6999999999998,1335.4992150778144
8265,2301.775592300911,1163.3,1138.4755923009109
8266,2091.828836854083,1128.6,963.228836854083
8267,1893.9337240318969,1097.4000000000003,796.5337240318966
8268,1697.3746509143486,1083.8000000000004,613.5746509143482
8269,1501.9742068011353,1049.0,452.9742068011353
8270,1340.2139821358576,1035.1999999999996,305.013982135858
8271,1227.1148839148486,1014.1999999999999,212.9148839148487
8272,1160.717975842424,1014.1999999999999,146.5179758424241
8273,1166.533399217008,1047.2999999999997,119.23339921700835
8274,1154.7179268608545,1045.1,109.6179268608546
8275,1138.0332099716056,1036.6999999999994,101.33320997160627
8276,1106.353282219191,1010.3999999999997,95.95328221919124
8277,1104.6020768932522,1018.7,85.90207689325212
8278,1120.716425888385,1043.6999999999996,77.01642588838536
8279,1106.7573106336076,1032.6999999999994,74.05731063360827
8280,1118.2063317323052,1049.4,68.80633173230513
8281,0.0,885.9000000000007,-885.9000000000007
8282,0.0,859.6999999999995,-859.6999999999995
8283,0.0,842.2,-842.2
8284,0.2425380099394054,837.4999999999999,-837.2574619900605
8285,0.751249022968154,837.8,-837.0487509770318
8286,2.0175068733261354,843.2,-841.1824931266739
8287,11.633338185066705,848.7000000000003,-837.0666618149336
8288,2096.014939701548,1018.9000000000001,1077.1149397015479
8289,1949.5830286678663,1042.4999999999995,907.0830286678668
8290,1774.1698574094135,1029.0999999999997,745.0698574094138
8291,1578.2964022588583,995.3,582.9964022588583
8292,1414.5376524887533,991.0,423.53765248875334
8293,1274.5882657239279,973.1000000000001,301.4882657239277
8294,1145.142709180564,981.2000000000002,163.94270918056384
8295,1058.3163276514697,957.5000000000002,100.81632765146946
8296,998.4518743649206,942.5000000000003,55.951874364920286
8297,987.5215981213944,941.8000000000002,45.72159812139421
8298,1003.3624096617689,963.7999999999998,39.56240966176904
8299,998.1674858737305,961.0000000000002,37.16748587373024
8300,1005.2104968963818,971.8000000000002,33.410496896381574
8301,1010.5432169810542,977.8,32.743216981054275
8302,1027.5646304042593,997.0,30.564630404259333
8303,1020.7531998506412,988.4999999999999,32.253199850641295
8304,1023.8679109607481,992.5999999999999,31.267910960748168
8305,0.0,828.5999999999999,-828.5999999999999
8306,0.0,844.0999999999999,-844.0999999999999
8307,0.0,867.3999999999995,-867.3999999999995
8308,0.2268441106770542,873.0999999999995,-872.8731558893224
8309,0.8243476100840674,891.4000000000004,-890.5756523899164
8310,1.97982148168359,858.1999999999996,-856.220178518316
8311,8.924031172455958,830.4999999999999,-821.5759688275439
8312,2024.5875915321099,969.1000000000001,1055.4875915321097
8313,1870.7183374995466,983.8000000000002,886.9183374995464
8314,1699.7024462618374,950.7000000000004,749.002446261837
8315,1479.1917015339661,902.5000000000002,576.6917015339659
8316,1266.1204237112013,857.5999999999996,408.5204237112017
8317,1126.8191472470683,819.7000000000002,307.1191472470681
