hour,simstadt_heating_demand_kwh_h
1887,856.5000000000003
1888,901.1000000000004
1889,952.5999999999997
1890,946.3
1891,1012.7999999999998
1892,1026.5999999999995
1893,1019.4999999999998
1894,1104.1999999999998
1895,1153.0
1896,1154.7000000000007
1897,1165.8999999999999
1898,1175.8
1899,1166.3999999999999
1900,1164.8
1901,1159.1000000000006
1902,1158.3000000000006
1903,1164.0000000000002
1904,1159.2000000000005
1905,1096.8
1906,1060.4
1907,989.9000000000003
1908,948.1999999999999
1909,884.9999999999998
1910,857.4000000000004
1911,858.0000000000006
1912,833.0
1913,927.2000000000005
1914,972.3999999999995
1915,985.0000000000001
1916,992.5000000000002
1917,1007.5999999999998
1918,1042.2
1919,1043.6000000000001
1920,1033.1999999999996
1921,1052.0000000000002
1922,1067.1000000000001
1923,1068.6000000000004
1924,1094.6999999999998
1925,1091.2000000000005
1926,1116.5999999999997
1927,1108.3999999999996
1928,1108.2999999999997
1929,1137.5999999999997
1930,1111.0999999999997
1931,1079.3000000000002
1932,1111.5999999999997
1933,1133.7999999999995
1934,1131.099999999999
1935,1107.6999999999996
1936,1097.0
1937,1082.3000000000006
1938,1122.4
1939,1123.3
1940,1143.5999999999995
1941,1124.0
1942,1094.6
1943,1061.1000000000001
1944,1002.7000000000003
1945,994.8999999999999
1946,1001.6000000000004
1947,1033.2999999999995
1948,1035.0999999999997
1949,999.2000000000003
1950,1006.6000000000003
1951,981.1000000000001
1952,923.8000000000005
1953,817.3999999999996
1954,737.0999999999999
1955,612.4000000000001
1956,565.5999999999999
1957,488.30000000000007
1958,410.79999999999984
1959,374.99999999999983
1960,392.40000000000026
1961,384.30000000000007
1962,426.00000000000006
1963,545.5999999999998
1964,575.5000000000001
1965,612.4000000000001
1966,620.2999999999997
1967,607.6000000000001
1968,661.2000000000002
1969,671.0000000000003
1970,726.5999999999997
1971,830.0999999999999
1972,817.2999999999997
1973,871.3999999999997
1974,913.5000000000001
1975,980.3000000000001
1976,1037.7999999999995
1977,1028.6999999999998
1978,890.4000000000001
1979,835.4999999999999
1980,730.8999999999999
1981,700.2
1982,615.0
1983,646.8000000000002
1984,706.8999999999995
1985,814.8999999999996
1986,946.3
1987,1040.2999999999997
1988,1131.799999999999
1989,1226.100000000001
1990,1310.5999999999997
1991,1384.0000000000002
1992,1483.7000000000003
1993,1559.0000000000007
1994,1603.0000000000005
1995,1641.5999999999992
1996,1614.3
1997,1616.1999999999998
1998,1573.6999999999991
1999,1577.3999999999999
2000,1574.6999999999994
2001,1497.6999999999996
2002,1440.8999999999987
2003,1375.7000000000005
2004,1243.5999999999997
2005,1113.7999999999993
2006,1068.3000000000004
2007,1079.5000000000002
2008,1119.2999999999995
2009,1144.999999999999
2010,1209.2
2011,1304.8999999999996
2012,1331.1999999999996
2013,1370.1000000000008
2014,1377.9000000000005
2015,1409.3999999999999
2016,1458.0000000000007
2017,1479.2000000000003
2018,1464.3000000000006
2019,1482.0000000000007
2020,1526.9
2021,1525.8999999999999
2022,1564.3999999999996
2023,1574.5999999999995
2024,1569.099999999999
2025,1589.5
2026,1507.0999999999988
2027,1386.0000000000002
2028,1297.9999999999995
2029,1211.3000000000002
2030,1219.9000000000008
2031,1196.9000000000003
2032,1229.3000000000002
2033,1245.5999999999997
2034,1262.4000000000008
2035,1324.7000000000003
2036,1310.5999999999997
2037,1378.6000000000006
2038,1375.6000000000006
2039,1419.4000000000005
2040,1491.9000000000003
2041,1508.8999999999985
2042,1543.8
2043,1496.9999999999998
2044,1442.6999999999994
2045,1434.2999999999997
2046,1503.599999999999
2047,1498.2999999999995
2048,1445.4999999999993
2049,1380.0000000000007
2050,1326.8
2051,1242.4999999999995
2052,1149.9999999999993
2053,1032.6999999999996
2054,987.6000000000003
2055,1016.1999999999997
2056,1040.8
2057,1019.4999999999998
2058,1097.0
2059,1131.4999999999989
2060,1177.9999999999995
2061,1218.000000000001
2062,1294.5999999999997
2063,1294.4999999999998
2064,1277.4
2065,1327.8
2066,1405.5999999999992
2067,1436.9999999999993
2068,1499.4999999999995
2069,1564.5999999999997
2070,1567.6999999999991
2071,1565.3999999999994
2072,1573.799999999999
2073,1621.7
2074,1530.7000000000003
2075,1470.1000000000004
2076,1400.799999999999
2077,1339.6999999999994
2078,1315.1999999999994
2079,1281.1999999999996
2080,1323.9
2081,1365.700000000001
2082,1440.5999999999988
2083,1557.6000000000004
2084,1647.8999999999999
2085,1719.9000000000012
2086,1744.399999999999
2087,1814.6999999999994
2088,1853.8000000000009
2089,1903.7999999999995
2090,1941.3000000000002
2091,1941.3000000000002
2092,1951.7999999999995
2093,2008.7000000000003
2094,2015.1000000000001
2095,2008.8000000000004
2096,1937.0000000000005
2097,1830.1999999999994
2098,1680.0000000000005
2099,1520.9999999999995
2100,1347.2000000000003
2101,1232.4999999999995
2102,1093.5000000000002
2103,1019.6999999999998
2104,980.9000000000001
2105,1015.4999999999998
2106,1101.4000000000003
2107,1202.8
2108,1259.700000000001
2109,1309.0999999999997
2110,1351.1000000000004
2111,1340.9999999999993
2112,1339.1999999999994
2113,1413.8000000000006
2114,1402.299999999999
2115,1459.7000000000005
2116,1463.2000000000007
2117,1454.5000000000005
2118,1479.9000000000005
2119,1470.1000000000004
2120,1473.6000000000008
2121,1388.3
2122,1259.3000000000009
2123,1153.6000000000001
2124,1019.5999999999998
2125,920.5000000000003
2126,831.4999999999998
2127,853.3000000000002
2128,898.8000000000003
2129,993.4
2130,1098.6000000000001
2131,1179.5999999999997
2132,1217.500000000001
2133,1277.8
2134,1385.8000000000002
2135,1468.0000000000007
2136,1518.3999999999996
2137,1601.1
2138,1664.4
2139,1714.6000000000017
2140,1707.2000000000012
2141,1709.3000000000015
2142,1696.2000000000003
2143,1704.3000000000009
2144,1684.3000000000002
2145,1633.6999999999996
2146,1582.0000000000002
2147,1497.3999999999996
2148,1397.7999999999995
2149,1255.8000000000004
2150,1225.600000000001
2151,1245.3999999999996
2152,1276.0
2153,1332.4999999999995
2154,1396.7999999999995
2155,1431.3999999999999
2156,1479.9000000000005
2157,1577.3
2158,1625.6000000000004
2159,1682.8000000000004
2160,1725.0000000000002
2161,850.4000000000002
2162,869.7000000000002
2163,880.5000000000007
2164,886.8000000000003
2165,884.1000000000008
2166,885.2000000000007
2167,874.3000000000002
2168,850.9000000000002
2169,831.2000000000003
2170,763.4
