Building ID,building_type,usage_type,heated_area_m2,heated_volume_m3,window_to_heated,window_to_wall,annual_rc_kwh,annual_simstadt_kwh,annual_diff_kwh,annual_diff_pct,heating_mismatch_score,heating_diff_abs_kwh,heating_diff_abs_pct
DEBW_52210004Lja,MFH,residential,472.1,1475.3,0.21584410082609617,0.2118370995572002,12235.503728154215,14551.8,-2316.296271845784,-15.917592819072444,15.917592819072444,2316.296271845784,15.917592819072444
DEBW_52210003sUv,RH,residential,153.1,478.3,0.21051600261267145,0.3952176578786021,3964.121564235531,4705.1,-740.9784357644694,-15.748409933146357,15.748409933146357,740.9784357644694,15.748409933146357
DEBW_52210005MRo,RH,residential,163.5,511.0,0.3511926605504587,0.3099093264248704,4510.337549162701,5344.999999999999,-834.6624508372979,-15.615761474972835,15.615761474972835,834.6624508372979,15.615761474972835
DEBW_52210004xrI,MFH,residential,297.4,929.4,0.2212508406186954,0.2247421271944805,7906.575870069581,9343.8,-1437.2241299304187,-15.381580619559694,15.381580619559694,1437.2241299304187,15.381580619559694
DEBW_52210005gvh,EFH,residential,335.5,1048.4,0.15517138599105812,0.1833227692090992,8073.1706649216,9521.5,-1448.3293350783997,-15.211146721403138,15.211146721403138,1448.3293350783997,15.211146721403138
DEBW_52210006JsB,MFH,residential,434.9,1359.2,0.21223269717176363,0.2140190599856238,10991.050072396289,12961.899999999998,-1970.8499276037091,-15.204946247106594,15.204946247106594,1970.8499276037091,15.204946247106594
DEBW_52210005g5H,EFH,residential,85.5,196.5,0.24690058479532162,0.1730327868852459,2030.073320794762,2392.9999999999995,-362.92667920523763,-15.166179657552766,15.166179657552766,362.92667920523763,15.166179657552766
DEBW_522100050Oj,MFH,residential,216.4,676.1,0.23405730129390018,0.2133709663830146,5576.163690870485,6566.699999999999,-990.5363091295139,-15.084232706374802,15.084232706374802,990.5363091295139,15.084232706374802
DEBW_52210006Hkl,EFH,residential,316.7,989.8,0.1801389327439217,0.1705071879016109,8106.428557643449,9529.1,-1422.6714423565518,-14.92975666491643,14.92975666491643,1422.6714423565518,14.92975666491643
DEBW_52210005evc,MFH,residential,411.7,1286.5,0.1968666504736459,0.2128581558421094,9734.265301859808,11442.1,-1707.834698140192,-14.925885092248729,14.925885092248729,1707.834698140192,14.925885092248729
DEBW_52210006HXy,EFH,residential,192.3,600.8,0.24430577223088928,0.199923400995787,5802.563032680619,6787.299999999999,-984.7369673193807,-14.50852278990734,14.50852278990734,984.7369673193807,14.50852278990734
DEBW_52210005PRs,MFH,residential,364.1,1137.7,0.3761878604778906,0.2214229133998286,13174.429188008076,15403.4,-2228.9708119919233,-14.470641624523958,14.470641624523958,2228.9708119919233,14.470641624523958
DEBW_522100054BV,MFH,residential,216.2,675.7,0.2292321924144311,0.2205411178355286,5675.291877621384,6633.700000000001,-958.408122378617,-14.447565044825916,14.447565044825916,958.408122378617,14.447565044825916
DEBW_52210004GPg,MFH,residential,338.7,1058.6,0.19955713020372012,0.213016073116924,8287.15161538297,9673.9,-1386.748384617029,-14.33494644990158,14.33494644990158,1386.748384617029,14.33494644990158
DEBW_52210004IuQ,MFH,residential,311.8,974.2,0.2295060936497755,0.2214657093339935,7942.096266074006,9252.3,-1310.2037339259932,-14.160843616462861,14.160843616462861,1310.2037339259932,14.160843616462861
DEBW_52210003t7f,MFH,residential,308.8,965.1,0.19776554404145077,0.218975223206282,7998.183631064275,9299.8,-1301.6163689357245,-13.996175927823444,13.996175927823444,1301.6163689357245,13.996175927823444
DEBW_5221Us0004K,RH,residential,298.1,931.6,0.3566923851056692,0.2960683855877931,9428.134794201927,8281.099999999999,1147.034794201929,13.851237084468599,13.851237084468599,1147.034794201929,13.851237084468599
DEBW_52210004H20,MFH,residential,1241.4,3394.4,0.1618817464153375,0.1986025872888809,22289.65275869225,25844.4,-3554.747241307752,-13.754419685919393,13.754419685919393,3554.747241307752,13.754419685919393
DEBW_52210005fiS,EFH,residential,208.6,652.0,0.2176893576222435,0.1834747474747475,6121.788784485391,7096.700000000001,-974.9112155146095,-13.737528929144665,13.737528929144665,974.9112155146095,13.737528929144665
DEBW_52210003xIr,RH,residential,191.6,598.6,0.324321503131524,0.3027232425585814,5648.504315485353,6528.0,-879.4956845146471,-13.472666735824864,13.472666735824864,879.4956845146471,13.472666735824864
DEBW_52210003sTZ,EFH,residential,221.4,692.0,0.22353206865401987,0.1724810929494998,6403.637212003161,7343.3,-939.6627879968391,-12.796192284079899,12.796192284079899,939.6627879968391,12.796192284079899
DEBW_52210003v4C,RH,residential,238.3,744.7,0.27473772555602183,0.2699905150727865,5953.443163622393,6824.0,-870.5568363776074,-12.757280720656615,12.757280720656615,870.5568363776074,12.757280720656615
DEBW_52210004HxR,MFH,residential,227.6,711.1,0.2664323374340949,0.2182865370770338,6642.044150636581,7611.400000000001,-969.3558493634191,-12.735578860175776,12.735578860175776,969.3558493634191,12.735578860175776
DEBW_52210005xzK,EFH,residential,230.0,718.7,0.20895652173913046,0.1749608649750627,6406.149178200201,7332.299999999999,-926.150821799798,-12.631109226297315,12.631109226297315,926.150821799798,12.631109226297315
DEBW_52210003rFb,MFH,residential,530.3,1657.2,0.14535168772392987,0.2208532706799232,11622.060526204124,13301.6,-1679.539473795876,-12.626597355174384,12.626597355174384,1679.539473795876,12.626597355174384
DEBW_52210004Hxc,MFH,residential,358.6,1120.7,0.2179866146123815,0.2113731004272349,8681.473794010974,9913.7,-1232.2262059890272,-12.429528894247628,12.429528894247628,1232.2262059890272,12.429528894247628
DEBW_52210005yi4,MFH,residential,136.3,426.0,0.19398385913426264,0.2241247774858014,3476.8421684023883,3968.4,-491.55783159761177,-12.38680152196381,12.38680152196381,491.55783159761177,12.38680152196381
DEBW_52210004L5J,MFH,residential,561.8,1755.5,0.18739765040939838,0.2139272143539309,13932.676322427862,15852.0,-1919.323677572138,-12.107769855993805,12.107769855993805,1919.323677572138,12.107769855993805
DEBW_522100060XU,EFH,residential,169.3,529.0,0.25321913762551684,0.1787441627751834,5287.032690715549,6008.0,-720.9673092844514,-12.000121659195264,12.000121659195264,720.9673092844514,12.000121659195264
DEBW_52210005jPg,MFH,residential,333.6,1042.4,0.24361510791366903,0.2068307332094775,9232.139618305617,10466.2,-1234.060381694384,-11.790911521797634,11.790911521797634,1234.060381694384,11.790911521797634
DEBW_52210003qwF,MFH,residential,260.9,815.3,0.23533921042545042,0.215415921131109,7133.714362836258,8039.500000000001,-905.7856371637426,-11.26669117686103,11.26669117686103,905.7856371637426,11.26669117686103
DEBW_52210006I2P,MFH,residential,311.4,973.1,0.25879897238278743,0.2159894939965694,9022.646169477795,10141.9,-1119.2538305222042,-11.03593834017496,11.03593834017496,1119.2538305222042,11.03593834017496
DEBW_52210005xRe,RH,residential,76.6,239.3,0.33537859007832904,0.2699947451392538,2371.948242098845,2664.9,-292.9517579011549,-10.992973766413558,10.992973766413558,292.9517579011549,10.992973766413558
DEBW_52210005enf,GMH,residential,863.9,2699.8,0.14418335455492537,0.215718194728274,18285.418368316125,20542.2,-2256.781631683876,-10.986075647612601,10.986075647612601,2256.781631683876,10.986075647612601
DEBW_52210004dNl,EFH,residential,304.0,950.1,0.20740131578947368,0.1644711099517412,8584.043390215877,9632.8,-1048.7566097841227,-10.887349574206075,10.887349574206075,1048.7566097841227,10.887349574206075
